"name","selected","shared name"
"SDR16C5","false","SDR16C5"
"HSD11B1L","false","HSD11B1L"
"HSDL1","false","HSDL1"
"DHRS4L2","false","DHRS4L2"
"HSD17B12","false","HSD17B12"
"TECR","false","TECR"
"DHRS7B","false","DHRS7B"
"SRD5A3","false","SRD5A3"
"RDH10","false","RDH10"
"CYP19A1","false","CYP19A1"
"HSD17B1","false","HSD17B1"
"RDH8","false","RDH8"
"TECRL","false","TECRL"
"HSDL2","false","HSDL2"
"DHRS11","false","DHRS11"
"HSD17B7","false","HSD17B7"
"DHRS13","false","DHRS13"
"BDH1","false","BDH1"
"DHRSX","false","DHRSX"
"DHRS4","false","DHRS4"
"HSD17B11","false","HSD17B11"
"AR","false","AR"
"HSD17B13","false","HSD17B13"
"HSD17B14","false","HSD17B14"
"HSD17B4","false","HSD17B4"
"RDH5","false","RDH5"
"HSD17B3","false","HSD17B3"
"SRD5A1","false","SRD5A1"
"PECR","false","PECR"
"DHRS1","false","DHRS1"
"DECR2","false","DECR2"
"CYB5A","false","CYB5A"
"HSD3B7","false","HSD3B7"
"DCXR","false","DCXR"
"CYP11B1","false","CYP11B1"
"HSD17B8","false","HSD17B8"
"HSD17B10","false","HSD17B10"
"HSD3B1","false","HSD3B1"
"HSD17B6","false","HSD17B6"
"DHRS2","false","DHRS2"
"HSD17B2","false","HSD17B2"
"SHBG","false","SHBG"
"STAR","false","STAR"
"HSD3B2","false","HSD3B2"
"CYP17A1","false","CYP17A1"
"CYP21A2","false","CYP21A2"
"CYP11B2","false","CYP11B2"
"CYP11A1","false","CYP11A1"
