,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lrs_to_keep,lr_means,cellphone_pvals
44181,B2M,B2M,4.4316473,1.0,KLRD1,KLRD1,0.5918185,0.537746806039489,CD8 T cells,NK cells,True,2.5117328,0.0
6541,B2M,B2M,4.4316473,1.0,CD3D,CD3D,0.5206083,0.554420570623459,CD8 T cells,CD4 T cells,True,2.4761279,0.0
44175,B2M,B2M,4.4316473,1.0,CD247,CD247,0.39790562,0.40301974448315914,CD8 T cells,NK cells,True,2.4147766,0.0
44176,B2M,B2M,4.4316473,1.0,KLRC1,KLRC1,0.27459016,0.27177700348432055,CD8 T cells,NK cells,True,2.3531187,0.0
6542,B2M,B2M,4.4316473,1.0,CD3G,CD3G,0.14018907,0.1835153222965833,CD8 T cells,CD4 T cells,True,2.2859182,0.0
6543,B2M,B2M,4.4316473,1.0,CD247,CD247,0.13959053,0.1815780204297288,CD8 T cells,CD4 T cells,True,2.285619,0.0
43962,HLA-B,HLA-B,2.8286643,1.0,KLRD1,KLRD1,0.5918185,0.537746806039489,CD8 T cells,NK cells,True,1.7102414,0.0
6324,HLA-B,HLA-B,2.8286643,1.0,CD3D,CD3D,0.5206083,0.554420570623459,CD8 T cells,CD4 T cells,True,1.6746364,0.0
6325,HLA-B,HLA-B,2.8286643,1.0,CD3G,CD3G,0.14018907,0.1835153222965833,CD8 T cells,CD4 T cells,True,1.4844267,0.0
43955,HLA-B,HLA-B,2.8286643,1.0,CD8A,CD8A,0.0944117,0.10569105691056911,CD8 T cells,NK cells,True,1.461538,0.0
45146,HLA-B,HLA-B,2.8286643,1.0,CANX,CANX,0.08647701,0.10220673635307782,CD8 T cells,NK cells,True,1.4575707,0.0
6347,HLA-A,HLA-A,2.3170156,0.9950617283950617,CD3D,CD3D,0.5206083,0.554420570623459,CD8 T cells,CD4 T cells,True,1.418812,0.0
6413,HLA-C,HLA-C,2.1965144,0.9975308641975309,CD3D,CD3D,0.5206083,0.554420570623459,CD8 T cells,CD4 T cells,True,1.3585613,0.0
6349,HLA-A,HLA-A,2.3170156,0.9950617283950617,CD3G,CD3G,0.14018907,0.1835153222965833,CD8 T cells,CD4 T cells,True,1.2286024,0.0
43978,HLA-A,HLA-A,2.3170156,0.9950617283950617,CD8A,CD8A,0.0944117,0.10569105691056911,CD8 T cells,NK cells,True,1.2057136,0.0
6414,HLA-C,HLA-C,2.1965144,0.9975308641975309,CD3G,CD3G,0.14018907,0.1835153222965833,CD8 T cells,CD4 T cells,True,1.1683518,0.0
44044,HLA-C,HLA-C,2.1965144,0.9975308641975309,CD8A,CD8A,0.0944117,0.10569105691056911,CD8 T cells,NK cells,True,1.145463,0.0
44664,CCL5,CCL5,1.9450681,0.945679012345679,CXCR3,CXCR3,0.13542359,0.140534262485482,CD8 T cells,NK cells,True,1.0402459,0.0
45299,HMGB1,HMGB1,0.63605136,0.591358024691358,CXCR4,CXCR4,0.7689248,0.586527293844367,CD8 T cells,NK cells,True,0.70248806,0.0
7667,HMGB1,HMGB1,0.63605136,0.591358024691358,CXCR4,CXCR4,0.7527904,0.6482916519901374,CD8 T cells,CD4 T cells,True,0.6944209,0.0
44080,HLA-E,HLA-E,1.1067891,0.8222222222222222,KLRC1,KLRC1_KLRD1,0.27459016,0.27177700348432055,CD8 T cells,NK cells,True,0.6906896,0.0
44083,HLA-E,HLA-E,1.1067891,0.8222222222222222,CD8A,CD8A,0.0944117,0.10569105691056911,CD8 T cells,NK cells,True,0.6006004,0.007
45022,HMGB1,HMGB1,0.63605136,0.591358024691358,HAVCR2,HAVCR2,0.26078218,0.27409988385598144,CD8 T cells,NK cells,True,0.44841677,0.0
6408,CD48,CD48,0.38219574,0.4049382716049383,CD2,CD2,0.32782382,0.37900669249735824,CD8 T cells,CD4 T cells,True,0.3550098,0.0
45024,LGALS1,LGALS1,0.18651268,0.20493827160493827,CD69,CD69,0.5018456,0.4529616724738676,CD8 T cells,NK cells,True,0.34417915,0.038
44289,CLEC2D,CLEC2D,0.40447816,0.40987654320987654,KLRB1,KLRB1,0.17692834,0.18815331010452963,CD8 T cells,NK cells,True,0.29070324,0.0
6474,CD58,CD58,0.11825091,0.13333333333333333,CD2,CD2,0.32782382,0.37900669249735824,CD8 T cells,CD4 T cells,True,0.22303736,0.0
45006,CLEC2B,CLEC2B,0.2682993,0.2814814814814815,KLRF1,KLRF1,0.11570781,0.1289198606271777,CD8 T cells,NK cells,True,0.19200356,0.0
44127,HLA-F,HLA-F,0.19368903,0.21975308641975308,CD8A,CD8A,0.0944117,0.10569105691056911,CD8 T cells,NK cells,True,0.14405036,0.001
